§,name,分子式,分子量,含量,外觀及性狀,"pH    值",磷酸鹽,鉀離子,氟化物,砷,鉛,重金屬,乾燥減重,"水不溶物（Water insoluble",分類,用途,鈉離子
13001,"焦磷酸鉀Tetrapotassium PyrophosphatePotassium PyrophosphateTetrapotassium Disphosphate",K4P2O7,330.34,"含K4P2O7 95 ％以上（以乾物重計）。",無色～白色結晶或塊狀或白色粉末或結晶性粉末。具吸溼性。易溶於水，但不溶於乙醇中。,"本品1 g溶於水100 mL，其溶液之pH值應為10.0～10.7。","本品1 g溶於水100 mL，取此溶液1 mL加硝酸銀試液數滴時，不得有深黃色沉澱生成。若有白色或微黃色沉澱生成，此沉澱物可再溶於稀硝酸中。","本品1 g溶於水20 mL，其鉀離子試驗呈陽性反應。","10 mg/kg以下。","3 mg/kg以下（以As計）。","10 mg/kg以下。","20 mg/kg以下（以Pb計）。","2 ％以下（105 ℃，4小時後，再550 ℃，30分鐘）。","0.2 ％以下。",食品添加物第（十三）類。,結著劑。,
13002,"焦磷酸鈉Tetrasodium Pyrophosphate, DecahydrateSodium PyrophosphateTetrasodium Diphsophate, Decahydrate",Na4P2O710H2O,446.06,"含Na4P2O7 95 ％以上（以乾物重計）。",無色～白色結晶或結晶性粉末。溶於水中，但不溶於乙醇中。,"本品1 g溶於水100 mL，其溶液之pH值應為9.9～10.7。","本品1 g溶於水100 mL，取此溶液1 mL加硝酸銀試液數滴時，不得有明顯黃色沉澱生成。若有白色或微黃色沉澱生成，此沉澱物可再溶於稀硝酸中。",,"10 mg/kg以下。","3 mg/kg以下（以As計）。","5 mg/kg以下。","10 mg/kg以下（以Pb計）。","38～42 ％以下（105 ℃，4小時後，再800℃，30分鐘）。","0.2 ％以下。",食品添加物第（十三）類。,結著劑。,"本品1 g溶於水20 mL，其鈉離子試驗呈陽性反應。"
13003,"焦磷酸鈉（無水）Tetrasodium Pyrophosphate, AnhydrousSodium Pyrophosphate, AnhydrousTetrasodium Diphsophate, Anhydrous",Na4P2O7,265.94,"含Na4P2O7 95 ％以上（以乾物重計）。",無色～白色結晶或結晶性或小粒狀粉末。溶於水中，但不溶於乙醇中。,"本品1 g溶於水100 mL，其溶液之pH值應為9.9～10.7。","本品1 g溶於水100 mL，取此溶液1 mL加硝酸銀試液數滴時，不得有明顯黃色沉澱生成。若有白色或微黃色沉澱生成，此沉澱物可再溶於稀硝酸中。",,"10 mg/kg以下。","3 mg/kg以下（以As計）。","5 mg/kg以下。","10 mg/kg以下（以Pb計）。","0.5 ％以下（105 ℃，4小時後，再800 ℃，30分鐘）。","0.2 ％以下。",食品添加物第（十三）類。,結著劑。,"本品1 g溶於水20 mL，其鈉離子試驗呈陽性反應。"
13004,"多磷酸鉀Potassium Polyphosphate規格標準同§ 07037",,,,,,,,,,,,,,,,
13005,"多磷酸鈉Sodium Polyphosphate規格標準同§ 07038",,,,,,,,,,,,,,,,
13006,"偏磷酸鉀Potassium Metaphosphate規格標準同§ 07035",,,,,,,,,,,,,,,,
13007,"偏磷酸鈉Sodium Metaphosphate規格標準同§ 07036",,,,,,,,,,,,,,,,
13008,"磷酸二氫鉀Potassium Phosphate, Monobasic規格標準同§ 07026",,,,,,,,,,,,,,,,
13009,"磷酸二氫鈉Sodium Phosphate, Monobasic規格標準同§ 07029",,,,,,,,,,,,,,,,
13010,"磷酸二氫納（無水）Sodium Phosphate, Monobasic, Anhydrous規格標準同§ 07030",,,,,,,,,,,,,,,,
13011,"磷酸氫二鉀Potassium Phosphate, Dibasic規格標準同§ 07027",,,,,,,,,,,,,,,,
13012,"磷酸氫二鈉Sodium Phosphate, Dibasic規格標準同§ 07031",,,,,,,,,,,,,,,,
13013,"磷酸氫二鈉（無水）Sodium Phosphate, Dibasic, Anhydrous規格標準同§ 07032",,,,,,,,,,,,,,,,
13014,"磷酸鉀Potassium Phosphate, Tribasic規格標準同§ 07028",,,,,,,,,,,,,,,,
13015,"磷酸鈉Sodium Phosphate, Tribasic規格標準同§ 07033",,,,,,,,,,,,,,,,
